feature	SID0002_gti	SID0004_cle	SID0005_aaf	SID0006_evh	SID0008_kcu	SID0009_rhg	SID0011_vkb	SID0012_qdz	SID0013_eop	SID0014_cps	SID0017_mqf	SID0018_fze	SID0020_jhi	SID1003_aac	SID1005_aae	SID1006_aaf	SID1009_aai	SID1011_aak	SID1012_aal	SID1014_aan	SID1015_aao	SID1019_aas	SID1022_aav	SID1030_bad	SID1035_bai	SID1037_bak	SID1040_ban	SID1041_bao	SID1048_bav	SID1049_baw	SID1050_bax	SID1052_baz	SID1053_bba	SID1054_bbb	SID5012_fio	SID5016_ish	SID5039_iqx	SID5049_uhx	SID5161_prh	SID5208_byt	SID5338_ihq	SID5355_yse	SID5362_xgk	SID5376_qdo	SID5390_yff	SID5391_rvn	SID5395_kej	SID5397_okf	SID5401_alw	SID5442_twn	SID5443_cul	SID5445_vub	SID5447_cka	SID5450_zsn	SID5458_vgp	SID5460_gix	SID5464_cib	SID5468_vbl	SID5473_irg	SID5486_yds	SID5488_wmq	SID5489_bgj	SID5490_ggo	SID5495_pls	SID5501_aaq	SID5561_vwa	SID5564_meq	SID5566_wwo	SID5570_qby	SID5571_lgi	SID5572_xty	SID5574_yeb	SID5577_ytn	SID5578_fjg	SID5579_bce	SID5581_yad	SID5584_vix	SID5625_bnh	SID5627_irb	SID5629_hiu	SID5630_kod	SID5631_soh	SID5634_lel	SID5636_prt	SID5639_uuc	SID5640_ijm
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.000491881	0.000418842	0.000463471	0.000327104	0.000429764	0.000431513	0.000262385	0.000352495	0.000142341	0.000178888	0.000266889	0.00030346	0.000379921	0.000217488	0.000216258	0.000130346	0.000381331	0.000427667	0.000110121	0.000259497	0.0003827	0.000191208	0.000146498	0.000164169	0.000220349	0.000245962	0.00032733	0.000459149	0.000379159	0.000531504	0.000422538	0.000427003	0.000384866	0.00042217	0.000330134	0.000437135	0.000257896	0.00017999	0.000293856	0.000402033	0.000208329	0.000196931	0.00038188	0.000391388	0.000108526	0.000340343	0.00025588	0.000387547	0.000385656	0.000296344	0.000292738	0.000206238	0.00026574	0.000338716	0.000185304	5.72404e-05	0.000380762	0.000220378	0.000509296	0.000310354	0.000350002	0.000291689	0.000453676	0.000280953	0.000205215	0.000211896	0.000322213	0.000394448	0.000292221	0.000303611	0.00028274	0.000212712	0.000402976	0.000299916	0.000402144	0.00010594	0.000434023	0.000382871	0.000181321	0.000569561	0.000178033	0.000535192	0.000465408	0.000301381	0.000347897	0.00026735
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.00038432	0.000350615	0.000462814	0.000364706	0.000363727	0.000321959	0.000320389	0.000373783	0.000174736	0.000335872	0.00036949	0.000326224	0.000354335	0.000324363	0.000302074	0.000133035	0.000411435	0.000392972	0.00015231	0.000280631	0.000317168	0.000414104	0.00022562	0.000400232	0.00030969	0.000329738	0.000322766	0.000363821	0.000278444	0.000418121	0.000590719	0.000512401	0.00036601	0.000461285	0.000313632	0.000353629	0.000294179	0.000255563	0.000280844	0.000328619	0.000177821	0.000272116	0.000361415	0.000384584	0.000332953	0.000598758	0.000350442	0.000386244	0.000274592	0.000236842	0.000358774	0.000208469	0.000296815	0.000301302	0.000317095	0.0003035	0.000218505	0.000306105	0.000375864	0.000366352	0.000296039	0.000324269	0.000322197	0.000272439	0.000324418	0.000356233	0.000530444	0.000299856	0.000276893	0.000299148	0.000255519	0.000349329	0.000360234	0.000353832	0.000333406	0.000152518	0.000361369	0.000362164	0.000302626	0.000380134	0.000208825	0.000475148	0.000308536	0.000321552	0.000380876	0.000316906
PWY-7111: pyruvate fermentation to isobutanol (engineered)	0.00038432	0.000350615	0.000442765	0.000364706	0.000363727	0.000321959	0.00036295	0.000373783	0.000174736	0.000458353	0.000425211	0.000411098	0.000354335	0.000324363	0.000286659	0.000154703	0.000431513	0.000386146	0.00015231	0.000280631	0.000317168	0.000471336	0.000275615	0.000400232	0.00030969	0.000329738	0.000322766	0.000363821	0.000278444	0.000412999	0.000590719	0.000486744	0.00036601	0.000461285	0.000313632	0.000353629	0.000294179	0.000255563	0.000280844	0.000328619	0.00020777	0.000272116	0.000361415	0.000384584	0.000424317	0.000598758	0.000441821	0.000386244	0.000274592	0.000236842	0.000358774	0.000208469	0.000296815	0.000301302	0.000382835	0.000426333	0.00020685	0.000306105	0.000375864	0.00038632	0.000296039	0.000324269	0.000349639	0.000272439	0.000324418	0.000356233	0.000530444	0.000299856	0.000371753	0.000299148	0.000255519	0.000349329	0.000360234	0.000353832	0.000333406	0.000152518	0.000361369	0.000321818	0.000302626	0.000380134	0.000221792	0.00041082	0.000308536	0.000317605	0.000380876	0.000348181
VALSYN-PWY: L-valine biosynthesis	0.00038432	0.000350615	0.000462814	0.000364706	0.000363727	0.000321959	0.000320389	0.000373783	0.000174736	0.000335872	0.00036949	0.000326224	0.000354335	0.000324363	0.000302074	0.000133035	0.000411435	0.000392972	0.00015231	0.000280631	0.000317168	0.000414104	0.00022562	0.000400232	0.00030969	0.000329738	0.000322766	0.000363821	0.000278444	0.000418121	0.000590719	0.000512401	0.00036601	0.000461285	0.000313632	0.000353629	0.000294179	0.000255563	0.000280844	0.000328619	0.000177821	0.000272116	0.000361415	0.000384584	0.000332953	0.000598758	0.000350442	0.000386244	0.000274592	0.000236842	0.000358774	0.000208469	0.000296815	0.000301302	0.000317095	0.0003035	0.000218505	0.000306105	0.000375864	0.000366352	0.000296039	0.000324269	0.000322197	0.000272439	0.000324418	0.000356233	0.000530444	0.000299856	0.000276893	0.000299148	0.000255519	0.000349329	0.000360234	0.000353832	0.000333406	0.000152518	0.000361369	0.000362164	0.000302626	0.000380134	0.000208825	0.000475148	0.000308536	0.000321552	0.000380876	0.000316906
PWY-1042: glycolysis IV (plant cytosol)	0.000384101	0.000389497	0.000542494	0.000411544	0.000406117	0.00033138	0.000413222	0.000366406	0.000199112	0.000313293	0.000318369	0.00028119	0.000332726	0.00028765	0.000282487	0.000176011	0.000542377	0.000424417	0.000147268	0.00029699	0.000283751	0.000419674	0.000280438	0.000407931	0.000288422	0.000326357	0.000378673	0.000463891	0.000248791	0.000405478	0.000370135	0.00047312	0.000416594	0.000517574	0.000361825	0.000304	0.00029788	0.000219027	0.00027842	0.000410809	0.000196094	0.000300199	0.000367911	0.000427368	0.000329451	0.000527427	0.000720436	0.000366347	0.000272786	0.000284768	0.000386592	0.000190663	0.000317997	0.000339529	0.00029265	0.000366555	0.000211155	0.000295971	0.000454451	0.000390164	0.000344739	0.000268867	0.000350286	0.000284735	0.00031584	0.000275553	0.000455738	0.000323257	0.00031403	0.000348517	0.000302367	0.000338955	0.000364993	0.00041153	0.000392003	0.000151303	0.000429065	0.000452454	0.000303436	0.000320353	0.000258617	0.000610879	0.000393387	0.000355675	0.00040033	0.000277638
PWY-6609: adenine and adenosine salvage III	0.00037367	0.000278314	0.000476198	0.00033157	0.000400891	0.00031842	0.000308771	0.000389593	0.000171917	0.000180733	0.000312616	0.000161198	0.000340532	0.000329697	0.000215129	0.000222225	0.000509883	0.000410326	0.000157252	0.000204259	0.000279599	0.00041079	0.000235983	0.000328764	0.000195947	0.000303248	0.000323616	0.000344787	0.000262244	0.00037246	0.000667055	0.000232539	0.000370465	0.000398747	0.000276116	0.000266833	0.00021883	0.000215417	0.000236306	0.000302271	0.000211011	0.000333732	0.000355165	0.00032468	0.000245064	0.000304964	0.000246784	0.00032863	0.000308434	0.000229025	0.000374227	0.000159946	0.000288389	0.000319437	0.000248426	0.000273749	0.000192733	0.000331954	0.000424173	0.000415221	0.000329	0.000282847	0.000352542	0.000270168	0.000276579	0.000225667	0.000507082	0.000341184	0.000221693	0.00031623	0.000240594	0.000386002	0.000335765	0.00028595	0.000344875	0.000127876	0.00033647	0.000430584	0.000188669	0.000292405	0.000257136	0.000543473	0.000321479	0.000341553	0.00038367	0.000255207
PWY-7219: adenosine ribonucleotides de novo biosynthesis	0.000364267	0.000284041	0.000429701	0.000366989	0.000402099	0.000352644	0.000286889	0.000419784	0.000176611	0.000227625	0.000272395	0.000224656	0.000314589	0.000331872	0.000261496	0.000121839	0.000449763	0.000376242	0.000169626	0.000249936	0.000299653	0.000367192	0.000211311	0.000406978	0.000214227	0.00031898	0.00035181	0.000466251	0.000230083	0.0003963	0.000518248	0.000468668	0.00038219	0.00044131	0.000326853	0.00029937	0.000289286	0.000248054	0.000259406	0.000353939	0.000190608	0.000341439	0.000376749	0.000341231	0.000246562	0.000497699	0.000311242	0.000397824	0.000290596	0.000245575	0.000365417	0.000190784	0.000320255	0.000334509	0.000258983	0.000232349	0.000221279	0.000305747	0.00044717	0.000417372	0.000335338	0.000316267	0.000360765	0.00030133	0.000313474	0.000244622	0.000527989	0.000375033	0.000234979	0.000293943	0.000255628	0.000406094	0.000338773	0.00035362	0.000372328	0.000145035	0.000373111	0.000384285	0.000243084	0.000323974	0.000230793	0.000497247	0.000359113	0.000441527	0.000334086	0.000233347
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	0.000355459	0.000300102	0.00029241	0.00030837	0.000307018	0.000331511	0.000184091	0.000286875	0.000103529	0.000279386	0.000467333	0.000273398	0.000305289	0.000246816	0.000129345	6.65355e-05	0.000278064	0.000359628	8.45447e-05	0.000141611	0.000268485	0.000304662	0.000274924	0.000330134	0.00021118	0.000208392	0.000330081	0.00038564	0.000192038	0.000342682	0.000441287	0.000163707	0.000373051	0.000403096	0.0002109	0.000272646	9.73455e-05	0.000147678	0.000230595	0.000279572	0.000101524	0.00024964	0.000304342	0.000255505	0.000308586	0.00015638	0.000216222	0.000317996	0.00028736	0.000223806	0.000211593	0.00011801	9.2609e-05	0.000229151	0.000267364	0.000334362	0.000210145	0.000203224	0.000307892	0.000180149	0.000221546	0.000273338	0.000282133	0.000237856	0.000280614	0.000233079	0.000306128	0.000258141	0.000333035	0.000232818	0.000216105	0.000237002	0.000288856	0.000239555	0.000299562	0.00011343	0.00031039	0.000185829	0.000218309	0.000307229	0.000211963	0.000296864	0.000328495	0.000376026	0.000268857	0.000241694
PWY-7221: guanosine ribonucleotides de novo biosynthesis	0.000355423	0.000284769	0.000434075	0.000341911	0.000328726	0.000374238	0.000301734	0.000408271	0.000179769	0.000224537	0.000228829	0.00017671	0.000313078	0.000319343	0.000261337	0.000152814	0.000445609	0.000429829	0.000144429	0.000224049	0.000301657	0.00033855	0.000181265	0.000355012	0.000228648	0.000294784	0.000325106	0.000494924	0.000258683	0.000400914	0.000523855	0.000512082	0.000397062	0.00042214	0.000311136	0.000299868	0.000254312	0.000232073	0.000228534	0.000330375	0.000215348	0.000325334	0.000341503	0.000342499	0.000230906	0.000499529	0.000210409	0.000380474	0.000303482	0.000228726	0.000309174	0.000194344	0.00029289	0.000303146	0.000255858	0.000247583	0.000203541	0.000268385	0.000391169	0.000358261	0.000310108	0.000300584	0.000348115	0.000288559	0.000277123	0.000260681	0.000453149	0.000326136	0.000239824	0.000282896	0.000247689	0.000350468	0.00033333	0.00032343	0.000363568	0.000132305	0.000325444	0.000338489	0.000236964	0.00034164	0.000229596	0.000481232	0.000298248	0.000402598	0.000345752	0.000217601
PWY-5686: UMP biosynthesis	0.000349188	0.00026058	0.000433522	0.000338129	0.000397077	0.000323874	0.000301705	0.000405224	0.000171717	0.000159866	0.000217735	0.000156146	0.000289517	0.000312514	0.000289127	0.000145163	0.000416076	0.000470484	0.000155253	0.000252528	0.000290361	0.000270227	0.000144139	0.000323844	0.000171015	0.00031528	0.000311714	0.000421563	0.000240227	0.000366693	0.000505905	0.000484429	0.000395943	0.000409391	0.000300499	0.000284742	0.000250147	0.000250332	0.000215254	0.000326415	0.000213292	0.000310852	0.000347549	0.000343484	0.000149169	0.000422446	0.00022714	0.000360426	0.000280879	0.000242954	0.000315222	0.000194294	0.000313731	0.000298121	0.000196465	0.000167967	0.000171641	0.000283414	0.000404923	0.000384197	0.00031136	0.000282833	0.000369225	0.000265311	0.000271083	0.000243403	0.000544671	0.00030662	0.000167056	0.000280457	0.00026125	0.000421385	0.00032356	0.000340327	0.000349605	0.000127642	0.000407528	0.000359083	0.000178908	0.000320953	0.000219546	0.000473949	0.000314503	0.000338021	0.000350683	0.00018946
