cohort	membership	module	contrast	dropped_pathway_id	n_pathways_remaining	delta_mean	same_direction_as_full
LoombaR_2017	conservative	lps_lipidA	F3_F4_minus_F0_F2	KDO-NAGLIPASYN-PWY	1	1.3005811335849593	True
LoombaR_2017	conservative	lps_lipidA	F3_F4_minus_F0_F2	LPSSYN-PWY	1	1.864694262461148	True
LoombaR_2017	conservative	scfa_acetate	F3_F4_minus_F0_F2	PWY-5100	0		
LoombaR_2017	conservative	scfa_butyrate	F3_F4_minus_F0_F2	CENTFERM-PWY	3	0.040543626283013445	False
LoombaR_2017	conservative	scfa_butyrate	F3_F4_minus_F0_F2	PWY-5676	3	0.6727724874399481	False
LoombaR_2017	conservative	scfa_butyrate	F3_F4_minus_F0_F2	PWY-5677	3	-0.14559482424625259	True
LoombaR_2017	conservative	scfa_butyrate	F3_F4_minus_F0_F2	P163-PWY	3	-0.13745416748049433	True
LoombaR_2017	conservative	scfa_lactate_succinate	F3_F4_minus_F0_F2	PWY-5100	0		
LoombaR_2017	conservative	tryptophan_indole	F3_F4_minus_F0_F2	PWY-6629	1	-0.1690383550521073	True
LoombaR_2017	conservative	tryptophan_indole	F3_F4_minus_F0_F2	TRPSYN-PWY	1	3.309772464027275	False
LoombaR_2017	conservative	overall_fermentation	F3_F4_minus_F0_F2	PWY-5100	4	-0.1195457302693601	True
LoombaR_2017	conservative	overall_fermentation	F3_F4_minus_F0_F2	CENTFERM-PWY	4	-0.3309361343137578	True
LoombaR_2017	conservative	overall_fermentation	F3_F4_minus_F0_F2	PWY-5676	4	-0.36535069355673677	True
LoombaR_2017	conservative	overall_fermentation	F3_F4_minus_F0_F2	PWY-5677	4	-0.33769115395838245	True
LoombaR_2017	conservative	overall_fermentation	F3_F4_minus_F0_F2	P163-PWY	4	-0.33508429828425523	True
LoombaR_2017	expanded	lps_lipidA	F3_F4_minus_F0_F2	KDO-NAGLIPASYN-PWY	2	1.9560952533909557	True
LoombaR_2017	expanded	lps_lipidA	F3_F4_minus_F0_F2	LPSSYN-PWY	2	2.342579015615227	True
LoombaR_2017	expanded	lps_lipidA	F3_F4_minus_F0_F2	ECASYN-PWY	2	1.8534050145954506	True
LoombaR_2017	expanded	scfa_acetate	F3_F4_minus_F0_F2	PWY-5100	1	0.4846772550331062	False
LoombaR_2017	expanded	scfa_acetate	F3_F4_minus_F0_F2	P461-PWY	1	-0.38806764772349744	True
LoombaR_2017	expanded	scfa_butyrate	F3_F4_minus_F0_F2	CENTFERM-PWY	3	0.040543626283013445	False
LoombaR_2017	expanded	scfa_butyrate	F3_F4_minus_F0_F2	PWY-5676	3	0.6727724874399481	False
LoombaR_2017	expanded	scfa_butyrate	F3_F4_minus_F0_F2	PWY-5677	3	-0.14559482424625259	True
LoombaR_2017	expanded	scfa_butyrate	F3_F4_minus_F0_F2	P163-PWY	3	-0.13745416748049433	True
LoombaR_2017	expanded	scfa_lactate_succinate	F3_F4_minus_F0_F2	PWY-5100	1	0.4846772550331062	False
LoombaR_2017	expanded	scfa_lactate_succinate	F3_F4_minus_F0_F2	P461-PWY	1	-0.38806764772349744	True
LoombaR_2017	expanded	tryptophan_indole	F3_F4_minus_F0_F2	PWY-6629	1	-0.1690383550521073	True
LoombaR_2017	expanded	tryptophan_indole	F3_F4_minus_F0_F2	TRPSYN-PWY	1	3.309772464027275	False
LoombaR_2017	expanded	overall_fermentation	F3_F4_minus_F0_F2	PWY-5100	5	0.10919467431945051	False
LoombaR_2017	expanded	overall_fermentation	F3_F4_minus_F0_F2	P461-PWY	5	-0.3315880825525026	True
LoombaR_2017	expanded	overall_fermentation	F3_F4_minus_F0_F2	CENTFERM-PWY	5	-0.18691248752601197	True
LoombaR_2017	expanded	overall_fermentation	F3_F4_minus_F0_F2	PWY-5676	5	-0.2175252352100019	True
LoombaR_2017	expanded	overall_fermentation	F3_F4_minus_F0_F2	PWY-5677	5	-0.20036998776735704	True
LoombaR_2017	expanded	overall_fermentation	F3_F4_minus_F0_F2	P163-PWY	5	-0.1988432693720501	True
