cohort	membership	random_module_id	n_pathways	contrast	delta_mean	abs_delta_ge_true	same_direction_as_true	matching_method	exact_bin_matches	relaxed_mean_prevalence_matches	global_fallback_matches	pathways
LoombaR_2017	conservative	random_00001	5	F3_F4_minus_F0_F2	-0.037078714111046907	False	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	4	1	0	PWY-6703;PWY-6590;PWY-5505;PWY-7279;PWY66-367
LoombaR_2017	conservative	random_00002	5	F3_F4_minus_F0_F2	-0.10324593345096478	False	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	4	1	0	PWY-6147;POLYAMINSYN3-PWY;PWY-5505;PROPFERM-PWY;PWY66-367
LoombaR_2017	conservative	random_00003	5	F3_F4_minus_F0_F2	0.10959931192604078	False	False	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	4	1	0	PWY-7220;PWY-6590;GOLPDLCAT-PWY;PWY-7616;PWY-6562
LoombaR_2017	conservative	random_00004	5	F3_F4_minus_F0_F2	-0.27953891841984024	False	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	4	1	0	GLYCOGENSYNTH-PWY;PWY-6590;TEICHOICACID-PWY;PROPFERM-PWY;PWY-5004
LoombaR_2017	conservative	random_00005	5	F3_F4_minus_F0_F2	-0.3221070676228468	False	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	4	1	0	GLUTORN-PWY;PWY-6590;TEICHOICACID-PWY;PWY-7616;PWY-5415
LoombaR_2017	conservative	random_00006	5	F3_F4_minus_F0_F2	0.07420886198841803	False	False	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	4	1	0	PWY-6125;POLYAMINSYN3-PWY;GOLPDLCAT-PWY;PWY-7279;PWY-6435
LoombaR_2017	conservative	random_00007	5	F3_F4_minus_F0_F2	-0.05573353347747023	False	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	4	1	0	NONOXIPENT-PWY;PWY-5863;GOLPDLCAT-PWY;PWY-7616;PWY-101
LoombaR_2017	conservative	random_00008	5	F3_F4_minus_F0_F2	-0.39318255030194127	True	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	4	1	0	PWY66-422;P42-PWY;TEICHOICACID-PWY;PWY-7616;PWY-5392
LoombaR_2017	conservative	random_00009	5	F3_F4_minus_F0_F2	0.11639139304617885	False	False	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	4	1	0	PWY-6125;PWY-5138;PWY-5505;PROPFERM-PWY;PWY-6435
LoombaR_2017	conservative	random_00010	5	F3_F4_minus_F0_F2	-0.2768654003303368	False	True	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	4	1	0	GLYCOGENSYNTH-PWY;P108-PWY;PWY-5505;PROPFERM-PWY;PWY-6876
