module	dropped_run	dropped_group	delta_S_minus_M	direction_consistent_with_full
bile_acids	DRR764581	M	-1.27106672984	True
bile_acids	DRR764582	M	-1.27106672984	True
bile_acids	DRR764583	M	-1.27106672984	True
bile_acids	DRR764584	M	-1.27106672984	True
bile_acids	DRR764585	M	3.5527136788e-15	False
bile_acids	DRR764586	M	-1.27106672984	True
bile_acids	DRR764587	M	-1.27106672984	True
bile_acids	DRR764588	M	-1.27106672984	True
bile_acids	DRR764589	M	-1.27106672984	True
bile_acids	DRR764590	S	-1.12983709319	True
bile_acids	DRR764591	S	-1.12983709319	True
bile_acids	DRR764592	S	-1.12983709319	True
bile_acids	DRR764593	S	-1.12983709319	True
bile_acids	DRR764594	S	-1.12983709319	True
bile_acids	DRR764595	S	-1.12983709319	True
bile_acids	DRR764596	S	-1.12983709319	True
bile_acids	DRR764597	S	-1.12983709319	True
bile_acids	DRR764598	S	-1.12983709319	True
bile_acids	DRR764599	S	-1.12983709319	True
bile_acids	DRR764600	S	-1.12983709319	True
lps_lipidA	DRR764581	M	-1.93893208433	True
lps_lipidA	DRR764582	M	-0.429197395056	True
lps_lipidA	DRR764583	M	-0.353569890109	True
lps_lipidA	DRR764584	M	-1.93893208433	True
lps_lipidA	DRR764585	M	-0.347313964239	True
lps_lipidA	DRR764586	M	-0.312386550268	True
lps_lipidA	DRR764587	M	-0.670037482063	True
lps_lipidA	DRR764588	M	-0.641037830564	True
lps_lipidA	DRR764589	M	-0.704443614404	True
lps_lipidA	DRR764590	S	0.00246603400034	False
lps_lipidA	DRR764591	S	-1.3258945176	True
lps_lipidA	DRR764592	S	-1.23294562019	True
lps_lipidA	DRR764593	S	0.00246603400034	False
lps_lipidA	DRR764594	S	0.00246603400034	False
lps_lipidA	DRR764595	S	-1.42916405703	True
lps_lipidA	DRR764596	S	0.00246603400034	False
lps_lipidA	DRR764597	S	-1.31906727299	True
lps_lipidA	DRR764598	S	-1.41089016369	True
lps_lipidA	DRR764599	S	-1.18352022992	True
lps_lipidA	DRR764600	S	-1.07442225782	True
overall_fermentation	DRR764581	M	-0.37101140123	True
overall_fermentation	DRR764582	M	-0.413597340667	True
overall_fermentation	DRR764583	M	-0.403598367942	True
overall_fermentation	DRR764584	M	-0.401027370692	True
overall_fermentation	DRR764585	M	-0.345672182327	True
overall_fermentation	DRR764586	M	-0.383788501719	True
overall_fermentation	DRR764587	M	-0.406395632987	True
overall_fermentation	DRR764588	M	-0.348930004688	True
overall_fermentation	DRR764589	M	-0.409902517634	True
overall_fermentation	DRR764590	S	-0.420250334715	True
overall_fermentation	DRR764591	S	-0.39506079331	True
overall_fermentation	DRR764592	S	-0.366138170394	True
overall_fermentation	DRR764593	S	-0.336138925862	True
overall_fermentation	DRR764594	S	-0.389392376892	True
overall_fermentation	DRR764595	S	-0.452558156181	True
overall_fermentation	DRR764596	S	-0.4062414617	True
overall_fermentation	DRR764597	S	-0.346043251347	True
overall_fermentation	DRR764598	S	-0.371964665655	True
