run_accession	group	module	pathways_defined	pathways_present	relative_score	log_ratio_score
DRR764581	M	bile_acids	1	1	0	-20.7232658379
DRR764582	M	bile_acids	1	1	0	-20.7232658379
DRR764583	M	bile_acids	1	1	0	-20.7232658379
DRR764584	M	bile_acids	1	1	0	-20.7232658379
DRR764585	M	bile_acids	1	1	2.60681465678e-05	-10.5547319992
DRR764586	M	bile_acids	1	1	0	-20.7232658379
DRR764587	M	bile_acids	1	1	0	-20.7232658379
DRR764588	M	bile_acids	1	1	0	-20.7232658379
DRR764589	M	bile_acids	1	1	0	-20.7232658379
DRR764590	S	bile_acids	1	1	0	-20.7232658379
DRR764591	S	bile_acids	1	1	0	-20.7232658379
DRR764592	S	bile_acids	1	1	0	-20.7232658379
DRR764593	S	bile_acids	1	1	0	-20.7232658379
DRR764594	S	bile_acids	1	1	0	-20.7232658379
DRR764595	S	bile_acids	1	1	0	-20.7232658379
DRR764596	S	bile_acids	1	1	0	-20.7232658379
DRR764597	S	bile_acids	1	1	0	-20.7232658379
DRR764598	S	bile_acids	1	1	0	-20.7232658379
DRR764599	S	bile_acids	1	1	0	-20.7232658379
DRR764600	S	bile_acids	1	1	0	-20.7232658379
DRR764581	M	lps_lipidA	3	3	0	-20.7232658379
DRR764582	M	lps_lipidA	3	3	0.000175904393816	-8.64538832372
DRR764583	M	lps_lipidA	3	3	0.000322085498208	-8.04036828414
DRR764584	M	lps_lipidA	3	3	0	-20.7232658379
DRR764585	M	lps_lipidA	3	3	0.000338609681327	-7.99032087718
DRR764586	M	lps_lipidA	3	3	0.000447715928806	-7.71090156541
DRR764587	M	lps_lipidA	3	3	2.56190672098e-05	-10.5721090198
DRR764588	M	lps_lipidA	3	3	3.23086659862e-05	-10.3401118078
DRR764589	M	lps_lipidA	3	3	1.94545626327e-05	-10.8473580785
DRR764590	S	lps_lipidA	3	3	0	-20.7232658379
DRR764591	S	lps_lipidA	3	3	0.000587138784849	-7.43966032194
DRR764592	S	lps_lipidA	3	3	0.00023185798836	-8.36914929601
DRR764593	S	lps_lipidA	3	3	0	-20.7232658379
DRR764594	S	lps_lipidA	3	3	0	-20.7232658379
DRR764595	S	lps_lipidA	3	3	0.001647305761	-6.40696492767
DRR764596	S	lps_lipidA	3	3	0	-20.7232658379
