run_accession	group	module	pathways_defined	pathways_present	relative_score	log_ratio_score
DRR764581	M	bile_acids	1	1	0	-20.7232658379
DRR764582	M	bile_acids	1	1	0	-20.7232658379
DRR764583	M	bile_acids	1	1	0	-20.7232658379
DRR764584	M	bile_acids	1	1	0	-20.7232658379
DRR764585	M	bile_acids	1	1	2.60681465678e-05	-10.5547319992
DRR764586	M	bile_acids	1	1	0	-20.7232658379
DRR764587	M	bile_acids	1	1	0	-20.7232658379
DRR764588	M	bile_acids	1	1	0	-20.7232658379
DRR764589	M	bile_acids	1	1	0	-20.7232658379
DRR764590	S	bile_acids	1	1	0	-20.7232658379
DRR764591	S	bile_acids	1	1	0	-20.7232658379
DRR764592	S	bile_acids	1	1	0	-20.7232658379
DRR764593	S	bile_acids	1	1	0	-20.7232658379
DRR764594	S	bile_acids	1	1	0	-20.7232658379
DRR764595	S	bile_acids	1	1	0	-20.7232658379
DRR764596	S	bile_acids	1	1	0	-20.7232658379
DRR764597	S	bile_acids	1	1	0	-20.7232658379
DRR764598	S	bile_acids	1	1	0	-20.7232658379
DRR764599	S	bile_acids	1	1	0	-20.7232658379
DRR764600	S	bile_acids	1	1	0	-20.7232658379
DRR764581	M	lps_lipidA	4	4	0	-20.7232658379
DRR764582	M	lps_lipidA	4	4	0.000315996563115	-8.05946001057
DRR764583	M	lps_lipidA	4	4	0.000506238861256	-7.58799360085
DRR764584	M	lps_lipidA	4	4	0	-20.7232658379
DRR764585	M	lps_lipidA	4	4	0.000441918638271	-7.72394049097
DRR764586	M	lps_lipidA	4	4	0.0010616143494	-6.84690143905
DRR764587	M	lps_lipidA	4	4	7.38503181657e-05	-9.51338284787
DRR764588	M	lps_lipidA	4	4	5.50630340868e-05	-9.80695873028
DRR764589	M	lps_lipidA	4	4	7.60609010683e-05	-9.48388699866
DRR764590	S	lps_lipidA	4	4	4.33487435491e-05	-10.0461664219
DRR764591	S	lps_lipidA	4	4	0.000660354337862	-7.32207190566
DRR764592	S	lps_lipidA	4	4	0.000503624830606	-7.59317321451
DRR764593	S	lps_lipidA	4	4	0	-20.7232658379
DRR764594	S	lps_lipidA	4	4	1.6236373989e-05	-11.028178701
DRR764595	S	lps_lipidA	4	4	0.00268121232209	-5.91880104258
DRR764596	S	lps_lipidA	4	4	4.72084104237e-05	-9.96087010334
