random_module_id	n_pathways	delta_mean_logratio_S_minus_M	abs_delta_ge_true	same_direction_as_true	p_exact	matching_method	exact_bin_matches	relaxed_mean_prevalence_matches	global_fallback_matches	pathways
random_00001	8	0.323378847625	True	False	not_computed_for_random_specificity	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	8	0	0	FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation;HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic);PWY-4984: urea cycle;HISDEG-PWY: L-histidine degradation I;PWY-7396: butanol and isobutanol biosynthesis (engineered);PWY-5494: pyruvate fermentation to propanoate II (acrylate pathway);PWY-5898: superpathway of menaquinol-12 biosynthesis;FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)
random_00002	8	0.397894919606	True	False	not_computed_for_random_specificity	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	8	0	0	FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation;HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent);P441-PWY: superpathway of N-acetylneuraminate degradation;PWY-5030: L-histidine degradation III;URDEGR-PWY: superpathway of allantoin degradation in plants;PWY-5392: reductive TCA cycle II;MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis;PWY-5724: superpathway of atrazine degradation
random_00003	8	0.347211617927	True	False	not_computed_for_random_specificity	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	8	0	0	GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation;HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic);PWY-2941: L-lysine biosynthesis II;PWY-5030: L-histidine degradation III;PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate);PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain);P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I;PWY490-3: nitrate reduction VI (assimilatory)
random_00004	8	0.361577764044	True	False	not_computed_for_random_specificity	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	8	0	0	GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation;PWY-5497: purine nucleobases degradation II (anaerobic);PWY-2941: L-lysine biosynthesis II;PWY-5030: L-histidine degradation III;PWY-7389: superpathway of anaerobic energy metabolism (invertebrates);PWY-6435: 4-hydroxybenzoate biosynthesis III (plants);METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis;PWY490-3: nitrate reduction VI (assimilatory)
random_00005	8	0.337894677752	True	False	not_computed_for_random_specificity	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	8	0	0	FUCCAT-PWY: fucose degradation;POLYAMSYN-PWY: superpathway of polyamine biosynthesis I;PWY-4984: urea cycle;PWY-5030: L-histidine degradation III;PWY-5265: peptidoglycan biosynthesis II (staphylococci);PWY-7874: L-threonate degradation;PWY-6803: phosphatidylcholine acyl editing;CRNFORCAT-PWY: creatinine degradation I
random_00006	8	0.403062322384	True	False	not_computed_for_random_specificity	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	8	0	0	FUCCAT-PWY: fucose degradation;HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic);P441-PWY: superpathway of N-acetylneuraminate degradation;HISDEG-PWY: L-histidine degradation I;PWY-7031: protein N-glycosylation (bacterial);PWY-5494: pyruvate fermentation to propanoate II (acrylate pathway);P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I;PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)
random_00007	8	0.408890976099	True	False	not_computed_for_random_specificity	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	8	0	0	FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation;HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent);PWY-5659: GDP-mannose biosynthesis;HISDEG-PWY: L-histidine degradation I;URDEGR-PWY: superpathway of allantoin degradation in plants;PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain);PWY-5723: Rubisco shunt;PWY66-388: ceramide degradation by &alpha;-oxidation
random_00008	8	0.349649850639	True	False	not_computed_for_random_specificity	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	8	0	0	FUCCAT-PWY: fucose degradation;HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent);PWY-5188: tetrapyrrole biosynthesis I (from glutamate);HISDEG-PWY: L-histidine degradation I;PWY-8190: L-glutamate degradation XI (reductive Stickland reaction);PWY-5392: reductive TCA cycle II;PWY-6803: phosphatidylcholine acyl editing;PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation)
random_00009	8	0.297323814777	False	False	not_computed_for_random_specificity	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	8	0	0	GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation;PWY-5913: partial TCA cycle (obligate autotrophs);PWY-4984: urea cycle;HISDEG-PWY: L-histidine degradation I;PWY-8190: L-glutamate degradation XI (reductive Stickland reaction);PWY-5392: reductive TCA cycle II;MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis;PWY-822: fructan biosynthesis
random_00010	8	0.432934642295	True	False	not_computed_for_random_specificity	pathway_count_plus_mean_abundance_prevalence_variance_zero_fraction_quintiles	8	0	0	FUCCAT-PWY: fucose degradation;PWY-5497: purine nucleobases degradation II (anaerobic);PWY-2941: L-lysine biosynthesis II;HISDEG-PWY: L-histidine degradation I;PWY-8174: odd iso-branched-chain fatty acid biosynthesis;LIPA-CORESYN-PWY: lipid A-core biosynthesis (E. coli K-12);PWY-5898: superpathway of menaquinol-12 biosynthesis;ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast
